2.2,1;0;1,0,,2.1,,3.2;,3.4;,3.2;2.1;,,,,,,,
3.1,0;0;0,0,,1.1,,,2.1;1.1;3.2;,,,,,,,,
3.2,0;0;1,0,,2.2,,,2.2;3.3;,3.1;,,,,,,,
3.3,0;1;1,0,,1.1,,,3.4;,3.2;1.1;,,,,,,,
3.4,1;1;1,0,,1.2,,,,3.3;2.2;1.2;,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
This file is for the function named gouttest,,,,,,,,,,,,,,,
Attributes, k-value, sub-attributes,,,,,,,,,,,,,
x1,2,,,,,,,,,,,,,,
x2,2,,,,,,,,,,,,,,
x3,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pilot Questions:,,,,,,,,,,,,,,,
Shortest Hansel Chain First,,,,,,,,,,,,,,,
True Attributes:,,,,,,,,,,,,,,,
Majority Flag not used,,,,,,,,,,,,,,,
Static,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Original Results,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 0 = x1,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 0 = x1x2 v x1 v x1x2x3,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 1 = x1,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 1 = x1x2 v x1 v x1x2x3,,,,,,,,,,,,,,,
Order of Questions:,1.1,1.2,2.1,3.2,3.3,,,,,,,,,,
Answers:,0,1,1,0,0,,,,,,,,,,
Total Questions: 5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Reference Number,Vector,Planned Query Order,Updated Query Order,Final Query Order,Majority Flag,Class,Expanded By,Up Expansions,Down Expansions,Up Expandable,Down Expandable,,,,
1.1,0;1;0,2,1,1,0,0,,,3.1;,1.2;3.3;,3.1;,,,,
1.2,1;1;0,1,2,2,0,1,,3.4;,,3.4;,1.1;2.1;,,,,
2.1,1;0;0,4,3,3,0,1,,2.2;,,1.2;2.2;,3.1;,,,,
2.2,1;0;1,3,4,,0,1,2.1,,,3.4;,3.2;2.1;,,,,
3.1,0;0;0,8,5,,0,0,1.1,,,2.1;1.1;3.2;,,,,,
3.2,0;0;1,7,6,4,0,0,,,,2.2;3.3;,3.1;,,,,
3.3,0;1;1,6,7,5,0,0,,,,3.4;,3.2;1.1;,,,,
3.4,1;1;1,5,8,,0,1,1.2,,,,3.3;2.2;1.2;,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Results After Applying Any f-Changes,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 0 = ,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 0 = x1,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 1 = x1,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 1 = x1x1 v x1 v x1x1x1,,,,,,,,,,,,,,,
Order of Questions:,,,,,,,,,,,,,,,
Answers:,,,,,,,,,,,,,,,
Total Questions: 0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Reference Number,Vector,Class,f-Change,Expanded By,Up Expansions,Down Expansions,Up Expandable,Down Expandable,,,,,,,
1.1,0;1;0,0,,,,3.1;,1.2;3.3;,3.1;,,,,,,,
1.2,1;1;0,1,,,3.4;,,3.4;,1.1;2.1;,,,,,,,
2.1,1;0;0,1,,,2.2;,,1.2;2.2;,3.1;,,,,,,,
2.2,1;0;1,1,,2.1,,,3.4;,3.2;2.1;,,,,,,,
3.1,0;0;0,0,,1.1,,,2.1;1.1;3.2;,,,,,,,,
3.2,0;0;1,0,,,,,2.2;3.3;,3.1;,,,,,,,
3.3,0;1;1,0,,,,,3.4;,3.2;1.1;,,,,,,,
3.4,1;1;1,1,,1.2,,,,3.3;2.2;1.2;,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"the problem was that we were checking if class was greater than 0 if it and less than function_kv before we ask the question of an already expanded vector, but the class can be 0 if the lessthan flag isnt raised. (it can be greater than 0 in the case of an up expansion of 0) ",,,,,,,,,,,,,,,
problem was in questionFunc() and askingOfQuestion(),,,,,,,,,,,,,,,
This file is for the function named gouttest3,,,,,,,,,,,,,,,
Attributes, k-value, sub-attributes,,,,,,,,,,,,,
x1,2,,,,,,,,,,,,,,
x2,2,,,,,,,,,,,,,,
x3,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pilot Questions:,,,,,,,,,,,,,,,
Shortest Hansel Chain First,,,,,,,,,,,,,,,
True Attributes:,,,,,,,,,,,,,,,
Majority Flag not used,,,,,,,,,,,,,,,
Static,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Original Results,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 0 = x1,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 0 = x1x1 v x1,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 1 = x1,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 1 = x1x1 v x1,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 2 = x1x1,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 2 = x1x1 v x1x1x1,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 3 = ,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 3 = ,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 4 = ,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 4 = ,,,,,,,,,,,,,,,
Order of Questions:,1.1,1.2,2.1,2.2,3.1,3.2,3.3,3.4,,,,,,,
Answers:,0,1,1,2,0,0,0,2,,,,,,,
Total Questions: 8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Reference Number,Vector,Planned Query Order,Updated Query Order,Final Query Order,Majority Flag,Class,Expanded By,Up Expansions,Down Expansions,Up Expandable,Down Expandable,,,,
1.1,0;1;0,2,1,1,0,0,,1.2;3.3;,3.1;,1.2;3.3;,3.1;,,,,
1.2,1;1;0,1,2,2,0,1,1.1,,2.1;,3.4;,1.1;2.1;,,,,need to fix the printing for the function and/or the restoration
2.1,1;0;0,4,3,3,0,1,1.2,2.2;,,1.2;2.2;,3.1;,,,,
2.2,1;0;1,3,4,4,0,2,2.1,,3.2;,3.4;,3.2;2.1;,,,,
3.1,0;0;0,8,5,5,0,0,1.1,,,2.1;1.1;3.2;,,,,,"this vector is a down expanded and a strong value, so it shouldn’t be asked -- fix!!"
3.2,0;0;1,7,6,6,0,0,2.2,,,2.2;3.3;,3.1;,,,,
3.3,0;1;1,6,7,7,0,0,1.1,,,3.4;,3.2;1.1;,,,,
3.4,1;1;1,5,8,8,0,2,2.2,,,,3.3;2.2;1.2;,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Results After Applying Any f-Changes,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 0 = ,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 0 = x1,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 1 = x1,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 1 = x1x1 v x1,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 2 = x1x1,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 2 = x1x1 v x1x1x1,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 3 = ,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 3 = ,,,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 4 = ,,,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 4 = ,,,,,,,,,,,,,,,
Order of Questions:,,,,,,,,,,,,,,,
Answers:,,,,,,,,,,,,,,,
Total Questions: 0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Reference Number,Vector,Class,f-Change,Expanded By,Up Expansions,Down Expansions,Up Expandable,Down Expandable,,,,,,,
1.1,0;1;0,0,,,1.2;3.3;,3.1;,1.2;3.3;,3.1;,,,,,,,
1.2,1;1;0,1,,1.1,,2.1;,3.4;,1.1;2.1;,,,,,,,
2.1,1;0;0,1,,1.2,2.2;,,1.2;2.2;,3.1;,,,,,,,
2.2,1;0;1,2,,2.1,,3.2;,3.4;,3.2;2.1;,,,,,,,
3.1,0;0;0,0,,1.1,,,2.1;1.1;3.2;,,,,,,,,
3.2,0;0;1,0,,2.2,,,2.2;3.3;,3.1;,,,,,,,
3.3,0;1;1,0,,1.1,,,3.4;,3.2;1.1;,,,,,,,
3.4,1;1;1,2,,2.2,,,,3.3;2.2;1.2;,,,,,,,
